word	Stance_favor	Stance_against
jo	-2.1776404290907436e-10	-1.601492549685446e-11
kala	4.6357123868745465e-12	-2.3045871851493094e-13
dhan	-2.1045058057334032e-13	4.180321470519154e-15
kamaya	-2.1483132980892883e-11	-2.867488419020653e-14
use	-2.363041880226735e-11	-1.0645307640217653e-14
pm	-1.375918996793235e-11	-2.5207672754712362e-11
ne	5.054147638600126e-12	3.911537164048157e-15
band	-5.050493564340286e-05	-4.4812548338768465e-08
hogaya	1.0195282985903109e-11	8.548413204785641e-15
taklef	6.650009536091073e-12	-3.4699932882045932e-15
tho	4.463735804594027e-12	-2.022713187265282e-13
hogi	8.110936401684032e-12	6.378212302933506e-15
notebandi	3.810487214650493e-07	1.919269561767578e-05
se	-4.1140680195894674e-08	-1.8477439880371094e-05
janata	3.7260045360199e-07	-4.971027374267578e-05
khush	3.7937908814456023e-07	0.0005503296852111816
thi,par	-5.469134066515835e-06	0.17657911777496338
kuvyavasthaon	-0.001138156745582819	0.9998743534088135
se	1.5000883024640643e-07	5.710124969482422e-05
jo	2.1785767501114606e-07	0.00016182661056518555
aapne	3.8048582950978016e-07	-0.00010943412780761719
khoon	-0.00020698925072792917	0.00040209293365478516
ke	-0.0001052892257575877	0.023294925689697266
aansu	-3.922776613762835e-06	3.719329833984375e-05
desh	-0.00020862490055151284	0.0008448958396911621
ko	-4.097938415270619e-07	0.0003808736801147461
rua	3.800192303060612e-07	-0.00010848045349121094
diye,	3.813276521213993e-07	-0.00010585784912109375
eiski	-3.245962034270633e-06	-4.0650367736816406e-05
izazat	-0.4407690167427063	0.5010194778442383
kisane	-3.977699179813499e-06	-9.882450103759766e-05
di	-1.4224419828678947e-06	-1.5854835510253906e-05
thi	-0.0012408907059580088	0.08546978235244751
?	-7.499275670852512e-05	0.0006125569343566895
bhai	-1.5047720808070153e-05	-3.835780808003619e-05
ye	-3.423754606046714e-06	-0.0007637057569809258
bhi	1.4690589523524977e-05	6.419337296392769e-05
dekh	1.1099893526989035e-05	-0.0005247298977337778
lo	-6.423847662517801e-05	-0.00021716610353905708
